Date,Total Doses Administered Daily,,,,Date,Monthly Vaccine Doses Admin
12/14/2020,4848,,,,12/1/2020,315038.4444
12/15/2020,47885,,,,1/1/2021,1043547.871
12/16/2020,160151,,,,2/1/2021,1791656.893
12/17/2020,275238,,,,3/1/2021,2718130.194
12/18/2020,421048,,,,4/1/2021,3023829.4
12/19/2020,184213,,,,5/1/2021,1638325.968
12/20/2020,107199,,,,6/1/2021,850651.0333
12/21/2020,387101,,,,7/1/2021,532931.9032
12/22/2020,451272,,,,8/1/2021,786818.7419
12/23/2020,578305,,,,9/1/2021,759154.6667
12/24/2020,197901,,,,10/1/2021,950918.7419
12/25/2020,12843,,,,11/1/2021,1415962.467
12/26/2020,143534,,,,12/1/2021,1504393.032
12/27/2020,96869,,,,1/1/2022,926187.5161
12/28/2020,597529,,,,2/1/2022,400776.2857
12/29/2020,729136,,,,3/1/2022,212288.4194
12/30/2020,848917,,,,4/1/2022,455237.9333
12/31/2020,426703,,,,5/1/2022,341283.5161
1/1/2021,137862,,,,6/1/2022,255358.3333
1/2/2021,268950,,,,7/1/2022,250889.6452
1/3/2021,141399,,,,8/1/2022,171001.6129
1/4/2021,665706,,,,9/1/2022,454454.0333
1/5/2021,840779,,,,10/1/2022,627818.8065
1/6/2021,1030603,,,,11/1/2022,416832.0667
1/7/2021,1177715,,,,12/1/2022,260089.9032
1/8/2021,1244741,,,,1/1/2023,134225.0968
1/9/2021,512629,,,,2/1/2023,68769.35714
1/10/2021,253088,,,,3/1/2023,52768.58065
1/11/2021,1079145,,,,4/1/2023,47765.83333
1/12/2021,1265924,,,,5/1/2023,69024.44444
1/13/2021,1334854,,,,,
1/14/2021,1325745,,,,,
1/15/2021,1268589,,,,,
1/16/2021,651783,,,,,
1/17/2021,302512,,,,,
1/18/2021,891805,,,,,
1/19/2021,1353803,,,,,
1/20/2021,1615237,,,,,
1/21/2021,1647635,,,,,
1/22/2021,1646871,,,,,
1/23/2021,913376,,,,,
1/24/2021,403869,,,,,
1/25/2021,1384839,,,,,
1/26/2021,1670866,,,,,
1/27/2021,1938126,,,,,
1/28/2021,1970489,,,,,
1/29/2021,1925120,,,,,
1/30/2021,1022132,,,,,
1/31/2021,463792,,,,,
2/1/2021,1418713,,,,,
2/2/2021,1712809,,,,,
2/3/2021,2153875,,,,,
2/4/2021,2356981,,,,,
2/5/2021,2367879,,,,,
2/6/2021,1307249,,,,,
2/7/2021,443492,,,,,
2/8/2021,1587115,,,,,
2/9/2021,1981949,,,,,
2/10/2021,2318275,,,,,
2/11/2021,2421414,,,,,
2/12/2021,2605164,,,,,
2/13/2021,1478506,,,,,
2/14/2021,591389,,,,,
2/15/2021,1198939,,,,,
2/16/2021,1626390,,,,,
2/17/2021,1974513,,,,,
2/18/2021,1863271,,,,,
2/19/2021,1971540,,,,,
2/20/2021,1311441,,,,,
2/21/2021,601724,,,,,
2/22/2021,1470034,,,,,
2/23/2021,1946484,,,,,
2/24/2021,2535910,,,,,
2/25/2021,2946420,,,,,
2/26/2021,3122056,,,,,
2/27/2021,1996210,,,,,
2/28/2021,856651,,,,,
3/1/2021,2097845,,,,,
3/2/2021,2474543,,,,,
3/3/2021,2916589,,,,,
3/4/2021,3210078,,,,,
3/5/2021,3242013,,,,,
3/6/2021,2068679,,,,,
3/7/2021,933604,,,,,
3/8/2021,2174179,,,,,
3/9/2021,2724006,,,,,
3/10/2021,3145737,,,,,
3/11/2021,3468822,,,,,
3/12/2021,3453100,,,,,
3/13/2021,2202082,,,,,
3/14/2021,985889,,,,,
3/15/2021,2282423,,,,,
3/16/2021,2893755,,,,,
3/17/2021,3176658,,,,,
3/18/2021,3402214,,,,,
3/19/2021,3320369,,,,,
3/20/2021,2165556,,,,,
