Date,Weekly Deaths
May 20 2023,247
May 13 2023,570
May  6 2023,778
Apr 29 2023,949
Apr 22 2023,1132
Apr 15 2023,1169
Apr  8 2023,1323
Apr  1 2023,1405
Mar 25 2023,1606
Mar 18 2023,1720
Mar 11 2023,1814
Mar  4 2023,1962
Feb 25 2023,2125
Feb 18 2023,2068
Feb 11 2023,2317
Feb  4 2023,2608
Jan 28 2023,2880
Jan 21 2023,3211
Jan 14 2023,3656
Jan  7 2023,3838
Dec 31 2022,3643
Dec 24 2022,3300
Dec 17 2022,3170
Dec 10 2022,3019
Dec  3 2022,2579
Nov 26 2022,2489
Nov 19 2022,2249
Nov 12 2022,2192
Nov  5 2022,2242
Oct 29 2022,2240
Oct 22 2022,2187
Oct 15 2022,2144
Oct  8 2022,2189
Oct  1 2022,2371
Sep 24 2022,2544
Sep 17 2022,2508
Sep 10 2022,2799
Sep  3 2022,2921
Aug 27 2022,3045
Aug 20 2022,3160
Aug 13 2022,3282
Aug  6 2022,3367
Jul 30 2022,3396
Jul 23 2022,3218
Jul 16 2022,2925
Jul  9 2022,2585
Jul  2 2022,2417
Jun 25 2022,2325
Jun 18 2022,2191
Jun 11 2022,2133
Jun  4 2022,2005
May 28 2022,1939
May 21 2022,1743
May 14 2022,1671
May  7 2022,1433
Apr 30 2022,1426
Apr 23 2022,1346
Apr 16 2022,1409
Apr  9 2022,1551
Apr  2 2022,1906
Mar 26 2022,2503
Mar 19 2022,3122
Mar 12 2022,4397
Mar  5 2022,6035
Feb 26 2022,8281
Feb 19 2022,11541
Feb 12 2022,15288
Feb  5 2022,18731
Jan 29 2022,20947
Jan 22 2022,21323
Jan 15 2022,19069
Jan  8 2022,15117
Jan  1 2022,11672
Dec 25 2021,10458
Dec 18 2021,10250
Dec 11 2021,9734
Dec  4 2021,8781
Nov 27 2021,7886
Nov 20 2021,7310
Nov 13 2021,7159
Nov  6 2021,7287
Oct 30 2021,7960
Oct 23 2021,8941
Oct 16 2021,9878
Oct  9 2021,11180
Oct  2 2021,12830
Sep 25 2021,14347
Sep 18 2021,15211
Sep 11 2021,15417
Sep  4 2021,15493
Aug 28 2021,14174
Aug 21 2021,12181
Aug 14 2021,9406
Aug  7 2021,6484
Jul 31 2021,4105
Jul 24 2021,2760
Jul 17 2021,1991
Jul 10 2021,1645
Jul  3 2021,1543
Jun 26 2021,1635
Jun 19 2021,1776
Jun 12 2021,2035
Jun  5 2021,2347
May 29 2021,2770
May 22 2021,3238
May 15 2021,3678
May  8 2021,4006
May  1 2021,4165
Apr 24 2021,4601
Apr 17 2021,4450
Apr 10 2021,4313
Apr  3 2021,4197
Mar 27 2021,4461
Mar 20 2021,4893
Mar 13 2021,5725
Mar  6 2021,6731
Feb 27 2021,8654
Feb 20 2021,10807
Feb 13 2021,13519
Feb  6 2021,17034
Jan 30 2021,20322
Jan 23 2021,23687
Jan 16 2021,25692
Jan  9 2021,25974
Jan  2 2021,24845
Dec 26 2020,23364
Dec 19 2020,22314
Dec 12 2020,20913
Dec  5 2020,18545
Nov 28 2020,15615
Nov 21 2020,13343
Nov 14 2020,10644
Nov  7 2020,8754
Oct 31 2020,7019
Oct 24 2020,5990
Oct 17 2020,5195
Oct 10 2020,4813
Oct  3 2020,4240
Sep 26 2020,4296
Sep 19 2020,4273
Sep 12 2020,4618
Sep  5 2020,5010
Aug 29 2020,5739
Aug 22 2020,6374
Aug 15 2020,7248
Aug  8 2020,7848
Aug  1 2020,8285
Jul 25 2020,8229
Jul 18 2020,7166
Jul 11 2020,5770
Jul  4 2020,4540
Jun 27 2020,3835
Jun 20 2020,3844
Jun 13 2020,4227
Jun  6 2020,5046
May 30 2020,6160
May 23 2020,7229
May 16 2020,9229
May  9 2020,11223
May  2 2020,13200
Apr 25 2020,15525
Apr 18 2020,17201
Apr 11 2020,16306
Apr  4 2020,10113
Mar 28 2020,3211
Mar 21 2020,586
Mar 14 2020,60
Mar  7 2020,38
Feb 29 2020,9
Feb 22 2020,6
Feb 15 2020,6
Feb  8 2020,4
Feb  1 2020,0
Jan 25 2020,3
Jan 18 2020,2
Jan 11 2020,1
