Date,Weekly COVID-19 Hospital Admissions,,,,,Date,Monthly Avg Hospital Admissions
Jan 11 2020,N/A,,,,,8/1/2020,31061.6
Jan 18 2020,N/A,,,,,9/1/2020,24390.5
Jan 25 2020,N/A,,,,,10/1/2020,35335.2
Feb  1 2020,N/A,,,,,11/1/2020,71343
Feb  8 2020,N/A,,,,,12/1/2020,99141.75
Feb 15 2020,N/A,,,,,1/1/2021,101638
Feb 22 2020,N/A,,,,,2/1/2021,53412.25
Feb 29 2020,N/A,,,,,3/1/2021,33816.75
Mar  7 2020,N/A,,,,,4/1/2021,37618.25
Mar 14 2020,N/A,,,,,5/1/2021,26496
Mar 21 2020,N/A,,,,,6/1/2021,14248.25
Mar 28 2020,N/A,,,,,7/1/2021,26828
Apr  4 2020,N/A,,,,,8/1/2021,77732.75
Apr 11 2020,N/A,,,,,9/1/2021,74879.5
Apr 18 2020,N/A,,,,,10/1/2021,42305.75
Apr 25 2020,N/A,,,,,11/1/2021,39228.25
May  2 2020,N/A,,,,,12/1/2021,55060.5
May  9 2020,N/A,,,,,1/1/2022,129706.6
May 16 2020,N/A,,,,,2/1/2022,62042.5
May 23 2020,N/A,,,,,3/1/2022,17302.25
May 30 2020,N/A,,,,,4/1/2022,11548.4
Jun  6 2020,N/A,,,,,5/1/2022,22284.75
Jun 13 2020,N/A,,,,,6/1/2022,30218
Jun 20 2020,N/A,,,,,7/1/2022,41187.6
Jun 27 2020,N/A,,,,,8/1/2022,39750
Jul  4 2020,N/A,,,,,9/1/2022,30470.5
Jul 11 2020,N/A,,,,,10/1/2022,23365.4
Jul 18 2020,N/A,,,,,11/1/2022,24496.5
Jul 25 2020,N/A,,,,,12/1/2022,37788.8
Aug  1 2020,36105,,,,,1/1/2023,35449
Aug  8 2020,31647,,,,,2/1/2023,25562.25
Aug 15 2020,29916,,,,,3/1/2023,19459.25
Aug 22 2020,29431,,,,,4/1/2023,13059.6
Aug 29 2020,28209,,,,,5/1/2023,9069.333333
Sep  5 2020,26475,,,,,,
Sep 12 2020,24504,,,,,,
Sep 19 2020,22982,,,,,,
Sep 26 2020,23601,,,,,,
Oct  3 2020,26094,,,,,,
Oct 10 2020,31292,,,,,,
Oct 17 2020,34853,,,,,,
Oct 24 2020,39777,,,,,,
Oct 31 2020,44660,,,,,,
Nov  7 2020,53542,,,,,,
Nov 14 2020,67973,,,,,,
Nov 21 2020,79805,,,,,,
Nov 28 2020,84052,,,,,,
Dec  5 2020,93094,,,,,,
Dec 12 2020,98724,,,,,,
