Dataset,Model,Prediction_Lag,Timestep,Train_RMSE,Train_MAE,Test_RMSE,Test_MAE,Status,Model_File,Data_Shape_Train,Data_Shape_Test,INTERP_Fixed,Warnings,Notes
regular,LR,1,N/A,0.5758,0.4032,11.379,11.3782,Success,LRModel_lag1.pickle,"(6, 23)","(2, 23)",No,,
regular,DynLR,1,N/A,0.5758,0.4032,11.379,11.3782,Success,DynLRModel_lag1.pickle,"(6, 23)","(2, 23)",No,,
regular,RF,1,N/A,0.451,0.3733,0.5847,0.5682,Success,RFModel_lag1.pickle,"(6, 23)","(2, 23)",No,,
regular,NN,1,N/A,1.2474,1.0103,0.6941,0.6369,Success,NNModel_lag1.h5,"(6, 23)","(2, 23)",No,,
regular,DynNN,1,N/A,1.2426,1.0103,0.7082,0.6523,Success,DynNNModel_lag1.h5,"(6, 23)","(2, 23)",No,,
regular,Ensemble,1,N/A,0.5007,0.3757,3.3767,3.3739,Success,EnsembleModel_lag1.pickle,"(6, 23)","(2, 23)",No,,
regular,RNN,1,6,1.7908,1.3268,0.8849,0.881,Success,RNNModel_lag1_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,RNN,1,12,1.7214,1.2623,0.6473,0.6275,Success,RNNModel_lag1_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,RNN,1,18,1.0175,0.8255,0.4608,0.4526,Success,RNNModel_lag1_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,LSTM,1,6,1.225,0.9905,0.7789,0.5516,Success,LSTMModel_lag1_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,LSTM,1,12,0.83,0.7152,0.6292,0.59,Success,LSTMModel_lag1_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,LSTM,1,18,0.8761,0.7529,1.0224,0.7284,Success,LSTMModel_lag1_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,GRU,1,6,1.0464,0.8543,0.6231,0.5365,Success,GRUModel_lag1_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,GRU,1,12,2.0426,1.5326,3.8711,3.8607,Success,GRUModel_lag1_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,GRU,1,18,1.149,0.9785,1.2725,1.2412,Success,GRUModel_lag1_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,LR,3,N/A,0.5758,0.4032,11.379,11.3782,Success,LRModel_lag3.pickle,"(6, 23)","(2, 23)",No,,
regular,DynLR,3,N/A,0.5758,0.4032,11.379,11.3782,Success,DynLRModel_lag3.pickle,"(6, 23)","(2, 23)",No,,
regular,RF,3,N/A,0.451,0.3733,0.5847,0.5682,Success,RFModel_lag3.pickle,"(6, 23)","(2, 23)",No,,
